Farm_ID,Farming_Practice,Emissions_Type,Emissions_Amount,Energy_Source,Farming_Type,Crop,Date
FARM-0001,Soil Management,N2O,11.39,Wind,Sustainable,Soybean,2020-12-13
FARM-0002,Soil Management,N2O,13.49,Geothermal,Sustainable,Wheat,2020-01-12
FARM-0003,Livestock,Methane,32.6,Oil,Traditional,,2020-10-07
FARM-0004,Livestock,Methane,18.75,Coal,Traditional,,2019-08-18
FARM-0005,Livestock,Methane,11.98,Oil,Traditional,,2023-04-06
FARM-0006,Soil Management,N2O,10.22,Geothermal,Sustainable,Soybean,2022-07-23
FARM-0007,Livestock,Methane,17.11,Peat,Traditional,,2024-08-08
FARM-0008,Fertilizer Application,CO2,23.2,Natural Gas,Traditional,Corn,2021-08-19
FARM-0009,Livestock,Methane,44.29,Natural Gas,Traditional,,2019-08-27
FARM-0010,Deforestation,CO2,78.03,Oil,Traditional,,2020-06-19
FARM-0011,Soil Management,N2O,7.19,Solar,Sustainable,Soybean,2021-06-09
FARM-0012,Livestock,Methane,16.4,Peat,Traditional,,2019-11-28
FARM-0013,Soil Management,N2O,9.22,Wind,Sustainable,Rice,2020-04-17
FARM-0014,Soil Management,N2O,4.67,Geothermal,Sustainable,Rice,2022-09-02
FARM-0015,Deforestation,CO2,83.82,Coal,Traditional,,2020-10-10
FARM-0016,Fertilizer Application,CO2,9.2,Oil,Traditional,Soybean,2022-02-05
FARM-0017,Soil Management,N2O,8.71,Wind,Sustainable,Soybean,2021-08-11
FARM-0018,Soil Management,N2O,9.16,Hydro,Sustainable,Wheat,2022-02-03
FARM-0019,Deforestation,CO2,81.81,Natural Gas,Traditional,,2024-07-05
FARM-0020,Soil Management,N2O,12.37,Hydro,Sustainable,Rice,2020-09-15
FARM-0021,Soil Management,N2O,13.69,Hydro,Sustainable,Barley,2023-12-11
FARM-0022,Fertilizer Application,CO2,26.21,Coal,Traditional,Barley,2020-10-22
FARM-0023,Fertilizer Application,CO2,21.27,Peat,Traditional,Wheat,2021-05-07
FARM-0024,Deforestation,CO2,68.92,Natural Gas,Traditional,,2022-06-14
FARM-0025,Livestock,Methane,42.82,Oil,Traditional,,2023-11-17
FARM-0026,Soil Management,N2O,12.55,Hydro,Sustainable,Soybean,2023-04-25
FARM-0027,Fertilizer Application,CO2,16.08,Natural Gas,Traditional,Soybean,2021-03-19
FARM-0028,Fertilizer Application,CO2,18.54,Natural Gas,Traditional,Wheat,2021-07-21
FARM-0029,Deforestation,CO2,63.63,Natural Gas,Traditional,,2019-12-12
FARM-0030,Deforestation,CO2,53.97,Natural Gas,Traditional,,2020-07-10
FARM-0031,Deforestation,CO2,90.25,Oil,Traditional,,2019-08-20
FARM-0032,Livestock,Methane,35.43,Peat,Traditional,,2024-01-04
FARM-0033,Fertilizer Application,CO2,23.64,Coal,Traditional,Soybean,2023-11-27
FARM-0034,Livestock,Methane,47.03,Peat,Traditional,,2020-07-24
FARM-0035,Deforestation,CO2,89.55,Coal,Traditional,,2021-11-27
FARM-0036,Soil Management,N2O,3.14,Geothermal,Sustainable,Soybean,2020-01-24
FARM-0037,Soil Management,N2O,6.25,Wind,Sustainable,Wheat,2020-06-05
FARM-0038,Fertilizer Application,CO2,21.9,Oil,Traditional,Soybean,2023-09-12
FARM-0039,Deforestation,CO2,70.23,Natural Gas,Traditional,,2020-07-27
FARM-0040,Deforestation,CO2,36.31,Natural Gas,Traditional,,2021-08-14
FARM-0041,Livestock,Methane,24.91,Natural Gas,Traditional,,2023-06-10
FARM-0042,Deforestation,CO2,54.92,Natural Gas,Traditional,,2023-12-18
FARM-0043,Fertilizer Application,CO2,14.73,Natural Gas,Traditional,Barley,2020-03-27
FARM-0044,Fertilizer Application,CO2,7.06,Oil,Traditional,Corn,2022-11-20
FARM-0045,Soil Management,N2O,11.11,Geothermal,Sustainable,Rice,2021-07-15
FARM-0046,Soil Management,N2O,14.11,Solar,Sustainable,Barley,2023-03-19
FARM-0047,Fertilizer Application,CO2,28.89,Coal,Traditional,Corn,2024-02-29
FARM-0048,Soil Management,N2O,12.65,Wind,Sustainable,Rice,2019-11-14
FARM-0049,Livestock,Methane,11.6,Peat,Traditional,,2024-01-13
FARM-0050,Livestock,Methane,34.83,Natural Gas,Traditional,,2024-01-22
FARM-0051,Fertilizer Application,CO2,25.71,Natural Gas,Traditional,Barley,2020-12-19
FARM-0052,Soil Management,N2O,10.33,Geothermal,Sustainable,Wheat,2020-01-15
FARM-0053,Soil Management,N2O,10.33,Wind,Sustainable,Wheat,2023-07-05
FARM-0054,Deforestation,CO2,41.3,Peat,Traditional,,2020-02-03
FARM-0055,Deforestation,CO2,57.63,Coal,Traditional,,2024-05-03
FARM-0056,Fertilizer Application,CO2,27.34,Natural Gas,Traditional,Barley,2024-02-14
FARM-0057,Fertilizer Application,CO2,25.3,Oil,Traditional,Wheat,2019-10-25
FARM-0058,Livestock,Methane,26.46,Peat,Traditional,,2024-06-13
FARM-0059,Fertilizer Application,CO2,22.14,Coal,Traditional,Soybean,2024-03-11
FARM-0060,Soil Management,N2O,5.64,Hydro,Sustainable,Rice,2019-10-06
FARM-0061,Livestock,Methane,21.32,Oil,Traditional,,2020-10-04
FARM-0062,Soil Management,N2O,4.18,Geothermal,Sustainable,Corn,2020-10-18
FARM-0063,Soil Management,N2O,8.91,Hydro,Sustainable,Soybean,2022-02-18
FARM-0064,Deforestation,CO2,63.2,Peat,Traditional,,2020-03-17
FARM-0065,Deforestation,CO2,41.98,Oil,Traditional,,2020-02-24
FARM-0066,Deforestation,CO2,51.59,Peat,Traditional,,2023-09-23
FARM-0067,Soil Management,N2O,5.91,Wind,Sustainable,Rice,2023-07-05
FARM-0068,Soil Management,N2O,8.84,Wind,Sustainable,Wheat,2019-11-07
FARM-0069,Soil Management,N2O,14.06,Hydro,Sustainable,Rice,2022-01-10
FARM-0070,Soil Management,N2O,13.82,Solar,Sustainable,Corn,2021-05-10
FARM-0071,Soil Management,N2O,3.57,Wind,Sustainable,Rice,2020-09-24
FARM-0072,Livestock,Methane,36.23,Coal,Traditional,,2019-08-21
FARM-0073,Fertilizer Application,CO2,29.54,Coal,Traditional,Soybean,2021-01-04
FARM-0074,Fertilizer Application,CO2,11.24,Peat,Traditional,Wheat,2019-11-28
FARM-0075,Fertilizer Application,CO2,23.86,Natural Gas,Traditional,Barley,2020-05-11
FARM-0076,Livestock,Methane,34.23,Coal,Traditional,,2020-05-12
FARM-0077,Fertilizer Application,CO2,9.2,Oil,Traditional,Barley,2021-05-28
FARM-0078,Livestock,Methane,41.94,Oil,Traditional,,2021-07-27
